|Travel and travel dollar flow into and out of the United States|Tourist trade -- United States -- Statistics -- Periodicals.||v. ; 27 cm.|[Washington, D.C.] : The Office,.|||Description based on: Dec. 1968; title from caption.|||
F207.3 .M6 Bound 1969|Mobil travel guide. Southwest and South Central area.|Southwestern States -- 1951- -- Guidebooks. Southwestern States -- Guidebooks. Southern States -- 1981- -- Guidebooks.||v. : ill., maps ; 21-28 cm.|New York, N.Y. : Simon and Schuster, [c1962-|1962/1963-||Section title varies slightly, 1989- : Southwest and South Central. Vols. for <1979>-198 published: Chicago : Rand McNally; for <1988-> published: New York, N.Y. : Prentice Hall Press. Good food, lodging and sightseeing in: Arkansas, Colorado, Kansas, Louisiana, Missouri, New Mexico, Oklahoma, Texas. Published in collaboration with the Mobil Oil Corporation.|Continues: Mobil travel guide. South Central and Southwestern states.|Key title: Mobil travel guide. Southwest and South Central area. Southwest and South Central. Southwest and South Central area.|
F551 .M64 BOUND 1969; AT NRLF: 1969|Mobil travel guide. Great Lakes area.|Great Lakes Region -- Guidebooks.||v. : maps ; 20 cm.|New York : Simon and Schuster, c1961-|1961-||Section title varies, 1989- : Great Lakes. Published: New York : Rand McNally in collaboration with the Mobil Oil Corporation, <1978>-198 ; New York, N.Y. : Prentice Hall Press, <1988->.||Abbreviated title: Mobil travel guide, Great Lakes area. Key title: Mobil travel guide. Great Lakes area. Great Lakes. Great Lakes area.|
F597 .M58 Bound 1962/63|Mobil travel guide: Northwest and Great Plains States; good food, lodging and sightseeing.|Great Plains -- Guidebooks. Northwestern States -- Guidebooks.||v. maps. 21 cm.|New York, Simon and Schuster.|1962/63-1973.|||Continued by: Mobil travel guide: Northwest and Great Plains states.||
F597 .M58 BOUND 1965, 1969; AT NRLF: 1965|Mobil travel guide: Northwest and Great Plains States.|Northwestern States -- Description and travel -- Guide-books.|||New York.|1962-|||||
F859.3 .M6 Bound 1961//|Mobil travel guide: California-Nevada: good food, lodging, and sightseeing.|Nevada -- Guidebooks. California -- Guidebooks.||v. maps. 21 cm.|New York, Simon and Schuster.|1961.|||Continued by: Mobil travel guide: California and the West: good food, lodging and sightseeing.||
F866 .M64 1962/63|Mobil travel guide: good food, lodging and sightseeing, California and the west.|Utah -- Guidebooks. Nevada -- Guidebooks. Arizona -- Guidebooks. California -- Guidebooks.||v. illus. (part col.) 21-28 cm.|[Bloomfield, N.J.] Simon and Shuster.|19 -1968.||Title varies slightly.|Continues: Mobil travel guide: California, Nevada; good food, lodging and sightseeing. Continued by: Mobil travel guide: California and the west.|Key title: Mobil travel guide. California and the West.|
F868.A3 C64 2:3(Mar 1921)|Crabtree's travel, hotel and shopping guide of Oakland, Alameda and Berkeley.|Berkeley (Calif.) -- Description -- Guide-books. Alameda (Calif.) -- Description -- Guide-books. Oakland (Calif.) -- Description -- Guide-books.||v. ill., maps. 20 cm.|[Oakland, Calif., Tribune Press]|||Cover-title.|||
G 1046 P6A2 TO SRLF|ABC air travel atlas.|Airways -- Maps.|ABC Travel Guides Ltd.|v. col. maps 30 cm.|[Dunstable, Beds., United Kingdom, ABC Travel Guides Ltd.]|Current frequency: Semiannual.||||Air travel atlas.|
G 110 U5U55 B(1982) Reference Area|Transportation and travel: official table of distances continental United States, Alaska, Hawaii, Canada, Canal Zone, Central America, Mexico, and Puerto Rico.|United States -- Distances, etc. North America -- Distances, etc.|United States. Dept. of the Army.|v. 26 cm.|[Washington] Dept. of the Army.||1976- : Air Force manual.|Vols. for <1976> issued with the departments of the Navy and the Air Force.||Key title: Transportation and travel. Official table of distances. Continental United States, Alaska, Hawaii, Canada, Canal Zone, Central America, Mexico, and Puerto Rico.|
G 1106 P2 A22 Information Desk|AAA road atlas : United States, Canada, Mexico.|United States -- Road maps. Canada -- Road maps. Mexico -- Road maps.||v. : col. maps ; 40 cm.|Falls Church, Va. : American Automobile Association, c1984-|1985-||Title from cover.|Continues: AAA North American road atlas.|Abbreviated title: AAA road atlas. Key title: AAA road atlas. AAA road atlas triptips 1985- A A A road atlas.|
G 1107 R187 Ref B55(1979)|Rand McNally road atlas & travel guide : United States/Canada|United States -- Guidebooks. United States -- Road maps. Canada -- Road maps. Mexico -- Road maps.||v. : col. ill., col. maps ; 28 cm.|Chicago, Ill., etc. : Rand McNally & Company, 1981-|||Description based on: 1981 edition. On cover of 1981- : NPCA, National Parks & Conservation Association.||Rand McNally road atlas and travel guide : United States/Canada/Mexico. Road atlas & travel guide : United States/Canada/Mexico.|
G 155 T7Q37 BNJAN.-SEP.(1979).BNJAN.-SEP.(1984)|Quarterly travel report|Tourist trade -- Trinidad and Tobago -- Statistics -- Periodicals.||v. : ill. ; 28 cm.|Port of Spain : The Office, 1979-|Jan.-Mar. 1979-||Title from cover.|||
G152.U6 U5691 Bound 1968|Travel and travel dollar flow into and out of the United States, calendar year ...|Tourist trade -- United States -- Statistics -- Periodicals.||v. ; 27 cm.|[Washington, D.C.] : U.S. Dept. of Commerce, United States Travel Service, 1968-|1968-|||||
G153 .O182 BOUND summer 1978(1:1)-summer|OAG travel planner & hotel|Hotels -- Europe -- Directories. Europe -- Guidebooks.|Reuben H. Donnelley Corporation.|v. ill. 28 cm.|[Oak Brook, Ill.] R. H. Donnelley Corp.|v. 1- summer 1978-|||Continues in part: OAG travel planner & hotel-motel guide. Continued by: OAG travel planner & hotel/motel guide. European edition, issued by: Official Airline Guides, inc. Merged with: Red book (Walnut Creek, Calif.), in part, to form: OAG travel planner, hotel & motel redbook (European ed.). Other edition available: OAG travel planner & hotel/motel guide. North American ed.|Abbreviated title: OAG travel plann. hotel/motel guide (Eur. ed.). Official Airline Guide travel planner and hotel/motel guide. Key title: OAG travel planner & hotel/motel guide (European ed.). Travel planner & hotel/motel guide summer 1978-|
G155 .U5A2 1-3, 1957-59|Survey of International Travel. Supplement.||United States. Bureau of Foreign Commerce.||||||||
G155.A1 R44 Bound 1978|Regional breakdown of world travel statistics = Repartition regionale des statistiques du tourisme mondial. Desglose regional de las estadisticas del turismo mundial.|Tourist trade -- Statistics -- Periodicals.||v. ; 21 x 30 cm.|[Madrid] : World Tourism Organization,.|-1978 edition.||Edition for 1978 covers period 1972-1976. In English, French, and Spanish.|Continued by: Regional breakdown of world tourism statistics.|Repartition regionale des statistiques du tourisme mondial. Desglose regional de las estadisticas del turismo mundial.|
G155.A1 T72 2nd ed. (1993)|Travel and hospitality career directory.|Tourist trade -- Vocational guidance -- Directories. Hotel management -- Vocational guidance -- Directories.||v. ; 28 cm.|Hawthorne, NJ : Career Press, c1989-|1st ed. (1989)-|The Career advisor series.|Published: Detroit, MI : Visible Ink Press, 1993-|||
G155.A1 U85 Library has: 1980, 1984-|Recap of international travel to and from the United States.|Tourist trade -- United States -- Statistics -- Periodicals. Visitors, Foreign -- United States -- Statistics -- Periodicals.||v. ; 28 cm.|Washington, D.C. : United States Travel Service, U.S. Dept. of Commerce, 1981-|1980-||Cover title.|Continues: Summary and analysis of international travel to the U.S.||
G155.A1 W48 Library has: 1963-1967.|Proceedings of the ... Annual Conference|Tourist trade -- United States -- Congresses. Travel -- Congresses. Tourist trade -- Congresses.|Western Council for Travel Research. Conference.|3 v. : ill. ; 28 cm.|[Salt Lake City] : Western Council for Travel Research, 1963-1965 ; (Salt Lake City : Bureau of Economic and Business Research, College of Business, University of Utah).|5th (Aug. 28-30, 1963)-7th (Aug. 4-6, 1965).||Proceedings of the 1st-4th conference, 1959-1962, not published.|Continued by: Western Council for Travel Research. Conference. Proceedings.|Proceedings, Western Council for Travel Research ... annual meeting.|
G155.C3 A33 Bound 1953-1985; AT NRLF: 1953-71,|Travel between Canada and other countries|Tourist trade -- Canada -- Statistics.||36 v. : ill., maps. ; 28 cm.|[Ottawa] : The Bureau, [1950]-1986.|1949-1985.||Vol. for 1971 includes Historical supplement on international travel statistics. Text in English only, 1949-1970; text in English and French, 1971-1985. Vols. for 1965-1967 issued by the Dominion Bureau of Statistics, Travel Statistics Section; 1968 and 1969-1970, by Dominion Bureau of Statistics, International Travel Statistics Section; 1971 by Statistics Canada, Balance of Payments and Financial Flows Division; 1972-1982 by Financial Flows and Multinational Enterprises Division; 1983-1985 by International and Financial Economics Division.|Continues: Volume of travel and estimated expenditures. Continued by: International travel, travel between Canada and other countries.|Abbreviated title: Travel Can. other ctries. Key title: Travel between Canada and other countries. Voyages entre le Canada et les autres pays 1971-1985.|CS66-201.
G155.P5 .T7 Bound 1972|Travel annual & directory.|Tourist trade -- Philippines -- Periodicals.||v. ill. 28 cm.|Manila, Philippines aviation and travel magazine.||||||
G155.U5 A2 Holdings not reported.|Survey of international travel.|Tourist trade -- Statistics. Travel -- Statistics.|United States. Bureau of Foreign Commerce.|vii, 63 p. illus. 24 cm.|[Washington, 1956]||||||
G155.U6 .A261 Bound 1957|Travel Survey.||United States. Bureau of the Census.||Washington.||||||
G155.U6 .D3 Bound 1968(Oct)-1969(Feb)|Data on visitors to the United States|Visitors, Foreign -- United States -- Statistics -- Periodicals. Tourist trade -- United States -- Statistics -- Periodicals.||v. ; 26 cm.|[Washington] : The Office,.|||Description based on: Oct.1968. December issue includes statistics for calendar year.|||
G155.U6 .U569 Holdings not reported.|Travel and travel dollar flow into and out of the United States|Tourist trade -- United States -- Statistics -- Periodicals.||v. ; 27 cm.|[Washington, D.C.] : The Office,.|||Description based on: Dec. 1968; title from caption.|||
GN560.U5 P8 1(1972)- Recent unbound issues in|Publications in archaeology.|Indians of North America -- Texas. Texas -- Antiquities.||v. ill.|[Austin] 1972-|Report no. 1-||Issued by Texas. Division of Travel and Information, no. 1; by Texas. State Dept of Highways and Public Transportation, Division of Highway Design, no. 2-|||
GP 3.22/2:302/ Gov Pubs Ref|Travel and tourism.|Government publications -- United States -- Bibliography -- Catalogs -- Periodicals. Travel -- Bibliography -- Catalogs -- Periodicals.||v. ; 26-28 cm.|Washington, D.C. : U.S. G.P.O., Supt. of Docs.,.|Began with June 12, 1980 issue.|Subject bibliography ; SB-302.|At head of title, 1994- : U.S. government publications about ... Description based on: June 18, 1982; title from caption. 2 issues published in 1981; none published, 1985. Each issue supersedes previous issue.||U.S. government publications about-- travel and tourism.|Notes
HC291 .H45 Bound 1(Nov 1959)-2(Oct 1961); AT NRLF:|Hellenic review.|Greece -- Periodicals.|||Forest Hills, N.Y.|v. 1-8; Nov. 1959-Aug. 1967.|||||
HD8039.H82 .N64a BOUND 1977-1987, 1989|Reiselivsstatistikk. Statistics on travel.|Hotels -- Norway -- Statistics -- Periodicals.||v. 29 cm.|Oslo, Statistisk sentralbyra [i kommisjon hos H. Aschehoug og Universitetsforlaget]|1977-|Norges offisielle statistikk.|English and Norwegian.|Continues: Hotell- og pensjonatstatistikk.|Statistics on travel.|
HD9504:T79.W3t.pr 6, 1964-10, 1968|Proceedings of the Annual Meeting.||Western Council for Travel Research.||||||||
HE 5614.3 C2C652 B(1983-87)U(1988)U(1989)U(1990)U(1991)|Accident data on California state highways; road miles, travel, accidents, accident rates.|Traffic accidents -- California -- Statistics.||v. graphs, 28 cm.|Saramento, California Dept. of Transportation.||||||
HE 566 F7 H3 CIRC Annex|HARIAN'S TODAY'S OUTSTANDING BUYS IN FREIGHTER TRAVEL.|||v. ill.|Not yet determined.||||||
HE28.C2 .T8 BOUND 1982-1991; later issues unbound|Travel and related factors in California.|Transportation -- California -- Statistics -- Periodicals.||v. : ill. ; 28 cm.|Sacramento : State of California, Business, Transportation, and Housing Agency, Dept. of Transportation, Division of Transportation Planning,.|Current frequency: Annual.||Description based on: Annual summary 1983. Prepared in cooperation with the U.S. Dept. of Transportation, Federal Highway Administration.|Summary of the monthly publication.||
HE4200.L78t.c 28, 1960-|City and Suburban Travel.||||||||||
HE4201 .C57 Bound 24(Sept 1959)-156(Nov 1974),|City and suburban travel.|||no. ill.|Los Angeles, Calif., Transit Research Foundation of Los Angeles.|v. 1- 1957-||Some numbers, May 1969- also called issue 100- (duodecimal numbering system).||Key title: City and suburban travel.|
HE44.T8 .A22 BOUND 1966/67-1968, 1980|International travel report.|Transportation -- Trinidad and Tobago -- Statistics.|Trinidad and Tobago. Central Statistical Office.|28 cm.|Port-of-Spain.|1955-|||||
HE5614.3.C2 C652 BOUND 1983-1992-|Accident data on California state highways (road miles, travel, accidents, accident rates)|Traffic accidents -- California -- Statistics -- Periodicals.||v. : ill. ; 28 cm.|Sacramento, Calif. : The Division,.|||Description based on: 1983. Vols. for ?-1988 issued by Division of Traffic Engineering; 1989- by Division of Traffic Operations.|||T988.A22.
HE5633.2.C2 C41 1974/82; 1974/88-|Truck miles of travel on the California state highway system.|Trucks -- California -- Statistics -- Periodicals. Trucking -- California -- Statistics -- Periodicals. Traffic flow -- California -- Statistics -- Periodicals.||v. : ill. ; 28 cm.|[Sacramento?] : California Dept. of Transportation, Office of Traffic Improvement,.|Current frequency: Annual.||Description based on: 1975-1990, published in 1991. Vols. for <1974-1988>- issued by the Department's Division of Transportation Planning, <1975-1990>- by its Office of Traffic Improvement.|||
HF3817.A3 .P5 [1]-2, 1955-56//|Philippine industry and trade, including travel and tourism.|Philippines -- Industries. Philippines -- Commerce -- Handbooks, manuals, etc.|Philippines. Dept. of Commerce and Industry.|v. ill., ports. 23-28 cm.|Quezon City, Luzon.||||||
HF5549.5.E45 D57 BOUND 1994/95(7)|Craighead's international business, travel, and relocation guide to ... countries.|Americans -- Employment -- Foreign countries -- Handbooks, manuals, etc. International business enterprises -- Personnel management -- Handbooks, manuals, etc. Travel -- Handbooks, manuals, etc.||v. : maps ; 28 cm.|Detroit : Gale Research Inc., c1991-|6th ed. (1992-93)-|||Continues: International business travel and relocation directory. Includes material from: Craighead's international executive travel and relocation service.|Abbreviated title: Craighead's int. bus. travel relocat. guide ctries. Key title: Craighead's international business, travel, and relocation guide to ... countries. International business, travel, and relocation guide to ... countries.|
HV3022 G84 Hum/SS Ref|A Guide to recreation, leisure, and travel for the handicapped.|Physically handicapped -- Travel -- United States -- Periodicals. Physically handicapped -- United States -- Recreation -- Periodicals. Sports for the physically handicapped -- United States -- Periodicals. Physically handicapped -- United States -- Transportation -- Periodicals. Physically handicapped -- Recreation -- Periodicals. Physically handicapped -- Travel -- Periodicals. Physically handicapped -- Transportation -- Periodicals. Sports for the physically handicapped -- Periodicals.||v. ; 28 cm.|Toledo, Ohio : Resource Directories, c1985-|1st ed.-||Issued in 2 vols.: v. 1, Recreation and sports; v. 2, Travel and transportation.||Abbreviated title: Guide recreat. leis. travel handicap. Key title: A Guide to recreation, leisure and travel for the handicapped.|
In process Stacks Ask at a Reference Desk|Dennis Foley and John Tilson's rarities: the gourmet's journal of rare wine, great dining, and sophisticated travel.||||Alhambra, CA: Wine Journal Enterprises, 1991-|Current frequency: Quarterly.||||Rarities.|
JK400:S.C7sg.rm.qc 1973-|Selected Provisions of State Subsistence, Mileage, and Air Travel Rates and Regulations; a Tabular Summary.||Council of State Governments.||||||||
JK776 .M391 Current year only|Maximum travel per diem allowances for foreign areas.|United States. Dept. of State -- Officials and employees -- Travel regulations -- Periodicals.|United States. Dept. of State.|v. ; 28 cm.|[Washington, D.C. : Allowance Staff, U.S. Dept. of State : Supt. of Docs., U.S. G.P.O., distributor,.|Current frequency: Monthly.||Description based on: PD supplement 234 (Nov. 1983); title from caption. Some v. distributed to depository libraries in microfiche. Vols. for <Nov. 1983-Apr. 1991> issued by: Allowances Staff, U.S. Dept. of State; <Dec. 1992-> by: Office of Allowances, U.S. Dept. of State.|Supplement to: United States. Dept. of State. Standardized regulations. Microfiche, Supt. of Docs., U.S. G.P.O.|Abbreviated title: Maximum trav. allow. foreign areas. Key title: Maximum travel per diem allowances for foreign areas.|Notes
KB1.C665 current 2 years only.|Consumer reports travel letter.|Voyages and travels -- Views -- Periodicals. Travel -- Periodicals.||v.|Mount Vernon, N.Y. : Consumers Union, 1985-|Vol. 1, no. 1-||Title from caption. <Vol. 1, no. 6-> also called <Sept. 1985->. A publication of Consumers Union.||Abbreviated title: Consum. rep. travel lett. Key title: Consumer reports travel letter. Travel letter.|
LB2283 .A38 Current only Ref. Coll.|Advisory list of international educational travel and exchange programs.|Youth travel programs -- Directories. Travel -- Periodicals. Foreign study -- Directories. Educational exchanges -- Directories.||v. ; 22 cm.|Reston, Va. : Council on Standards for International Educational Travel, 1985-|1985/86-||Published: Leesburg, VA, <1992/93- >.||Council on Standards for International Educational Travel advisory list. CSIET advisory list <1990->.|
LB2376 .W48 BOUND 1988/89(9)-1994/95(12) Current|Work, study, travel abroad : the whole world handbook|Voyages and travels -- Guide-books. Occupations -- Foreign countries -- Directories. Occupations -- Foreign countries -- Handbooks, manuals, etc. Foreign study -- Directories. Foreign study -- Handbooks, manuals, etc.||v. : ill. ; 21 cm.|New York : St. Martin's,.|Current frequency: Biennial.||Editor: <1990-1991-> Del Franz. Includes index. Description based on: 7th ed. (1984-1985). Published for the Council on International Educational Exchange.|Continues: Whole world handbook.|Abbreviated title: Work, study, travel abroad (New York, N.Y.). Key title: Work, study, travel abroad (New York, N.Y.). Whole world handbook.|
